time_ms,time_s,light_level,motion,led_state,mode
93836,93.836,639,1,1,0
94088,94.088,561,1,1,0
94340,94.34,554,1,1,0
94592,94.592,526,1,1,0
94843,94.843,530,1,1,0
95095,95.095,617,1,1,0
95347,95.347,445,1,1,0
95599,95.599,613,1,1,0
95851,95.851,444,1,1,0
96103,96.103,602,1,1,0
96355,96.355,521,1,1,0
96606,96.606,511,1,1,0
96858,96.858,520,1,1,0
97110,97.11,510,1,1,0
97361,97.361,594,1,1,0
97613,97.613,448,1,1,0
97865,97.865,637,1,1,0
98117,98.117,433,1,1,0
98369,98.369,587,1,1,0
98621,98.621,505,1,1,0
98873,98.873,511,1,1,0
99125,99.125,515,1,1,0
99377,99.377,513,1,1,0
99629,99.629,572,1,1,0
99880,99.88,477,1,1,0
100132,100.132,639,1,1,0
100384,100.384,445,1,1,0
100636,100.636,609,1,1,0
100888,100.888,502,1,1,0
101140,101.14,585,1,1,0
101392,101.392,547,1,1,0
101644,101.644,526,1,1,0
101896,101.896,596,1,1,0
102148,102.148,496,1,1,0
102400,102.4,657,1,1,0
102650,102.65,471,1,1,0
102902,102.902,620,1,1,0
103154,103.154,536,1,1,0
103406,103.406,594,1,1,0
103658,103.658,563,1,1,0
103910,103.91,527,1,1,0
104162,104.162,624,1,1,0
104414,104.414,506,1,1,0
104666,104.666,659,1,1,0
104918,104.918,488,1,1,0
105169,105.169,622,1,1,0
105421,105.421,563,1,1,0
105673,105.673,586,1,1,0
105925,105.925,579,1,1,0
106177,106.177,526,1,1,0
106429,106.429,649,1,1,0
106681,106.681,502,0,1,0
106933,106.933,668,0,1,0
107185,107.185,497,0,1,0
107437,107.437,624,0,1,0
107688,107.688,573,0,1,0
107940,107.94,587,0,1,0
108192,108.192,580,0,1,0
108444,108.444,529,0,1,0
108696,108.696,665,0,1,0
108948,108.948,499,0,1,0
109200,109.2,672,0,1,0
109452,109.452,501,0,1,0
109704,109.704,625,0,1,0
109956,109.956,575,0,1,0
110208,110.208,588,0,1,0
110459,110.459,588,0,1,0
110711,110.711,528,0,1,0
110963,110.963,674,0,1,0
111215,111.215,499,0,1,0
111467,111.467,675,0,1,0
111719,111.719,507,0,1,0
111971,111.971,629,0,1,0
112223,112.223,576,0,1,0
112475,112.475,593,0,1,0
112727,112.727,590,0,1,0
112978,112.978,530,0,1,0
113230,113.23,678,0,1,0
113482,113.482,501,0,1,0
113734,113.734,678,0,1,0
113986,113.986,512,0,1,0
114238,114.238,631,0,1,0
114490,114.49,576,0,1,0
114742,114.742,596,0,1,0
114994,114.994,594,0,1,0
115246,115.246,532,0,1,0
115497,115.497,680,0,1,0
115749,115.749,504,0,1,0
116001,116.001,680,0,1,0
116253,116.253,516,0,1,0
116505,116.505,633,0,0,0
116757,116.757,576,0,0,0
117009,117.009,596,0,0,0
117261,117.261,593,0,0,0
117513,117.513,531,0,0,0
117765,117.765,678,0,0,0
118017,118.017,503,0,0,0
118268,118.268,678,0,0,0
118520,118.52,515,0,0,0
118772,118.772,630,0,0,0
119024,119.024,575,0,0,0
119276,119.276,596,0,0,0
119528,119.528,594,0,0,0
119780,119.78,530,0,0,0
120032,120.032,682,0,0,0
120284,120.284,505,0,0,0
120536,120.536,674,0,0,0
120787,120.787,521,0,0,0
121039,121.039,631,0,0,0
121291,121.291,573,0,0,0
121543,121.543,597,0,0,0
121795,121.795,597,0,0,0
122047,122.047,532,0,0,0
122299,122.299,683,0,0,0
122551,122.551,509,0,0,0
122803,122.803,667,0,0,0
123055,123.055,529,0,0,0
123307,123.307,632,0,0,0
123558,123.558,573,0,0,0
123810,123.81,597,0,0,0
124062,124.062,603,0,0,0
124314,124.314,532,0,0,0
124566,124.566,683,0,0,0
124818,124.818,510,0,0,0
125069,125.069,663,0,0,0
125321,125.321,533,0,0,0
125573,125.573,632,0,0,0
125825,125.825,574,0,0,0
126076,126.076,592,0,0,0
126328,126.328,610,0,0,0
126580,126.58,531,0,0,0
126832,126.832,682,0,0,0
127084,127.084,509,0,0,0
127336,127.336,638,0,0,0
127588,127.588,548,0,0,0
127840,127.84,614,1,1,0
128092,128.092,572,1,1,0
128344,128.344,541,1,1,0
128595,128.595,610,1,1,0
128847,128.847,503,1,1,0
129099,129.099,659,1,1,0
129351,129.351,678,1,1,0
129603,129.603,772,1,1,0
129855,129.855,709,1,1,0
130107,130.107,780,1,1,0
130359,130.359,776,1,1,0
130611,130.611,719,1,1,0
130863,130.863,753,1,1,0
131115,131.115,705,1,1,0
131366,131.366,814,1,1,0
131618,131.618,736,1,1,0
131870,131.87,774,1,1,0
132122,132.122,739,1,1,0
132374,132.374,789,1,1,0
132626,132.626,791,1,1,0
132878,132.878,708,1,1,0
133130,133.13,816,1,1,0
133382,133.382,748,1,1,0
133634,133.634,821,1,1,0
133885,133.885,738,1,1,0
134137,134.137,785,1,1,0
134389,134.389,779,0,1,0
134641,134.641,792,0,1,0
134893,134.893,794,0,1,0
135145,135.145,713,0,1,0
135397,135.397,826,0,1,0
135649,135.649,761,0,1,0
135901,135.901,814,0,1,0
136153,136.153,726,0,1,0
136404,136.404,792,0,1,0
136656,136.656,794,0,1,0
136908,136.908,770,0,1,0
137160,137.16,799,0,1,0
137412,137.412,725,0,1,0
137664,137.664,839,0,1,0
137916,137.916,772,0,1,0
138168,138.168,806,0,1,0
138420,138.42,745,0,1,0
138672,138.672,796,0,1,0
138924,138.924,810,0,1,0
139175,139.175,763,0,1,0
